2025-05-17,12,28,29,38,46,49,25,1
2025-05-14,9,18,19,30,31,40,28,2
2025-05-10,3,13,18,24,30,31,25,3
2025-05-07,9,10,27,30,31,45,23,4
2025-05-03,4,5,7,10,11,41,2,5
2025-04-30,8,19,20,31,45,52,3,6
2025-04-26,18,20,28,30,31,36,49,7
2025-04-23,1,5,22,31,34,44,33,8
2025-04-19,6,9,11,33,38,52,32,9
2025-04-16,9,16,20,23,26,51,29,10
2025-04-12,3,9,16,17,31,48,36,11
2025-04-09,3,5,27,45,49,50,20,12
2025-04-05,7,11,34,37,39,42,44,13
2025-04-02,6,7,22,29,44,50,4,14
2025-03-29,11,18,28,36,46,48,22,15
2025-03-26,12,18,21,25,27,38,31,16
2025-03-22,3,12,16,18,31,51,2,17
2025-03-19,2,3,17,27,29,37,12,18
2025-03-15,6,23,24,34,47,49,18,19
2025-03-12,7,12,24,32,39,48,9,20
2025-03-08,7,19,23,27,31,52,10,21
2025-03-05,2,8,37,45,48,51,24,22
2025-03-01,8,12,20,22,49,50,10,23
2025-02-26,27,36,38,44,45,47,41,24
2025-02-22,4,7,12,13,24,51,49,25
2025-02-19,11,13,32,43,50,51,16,26
2025-02-15,5,9,25,39,41,50,24,27
2025-02-12,3,9,23,41,42,48,39,28
2025-02-08,1,4,14,17,20,34,50,29
2025-02-05,5,7,18,28,30,42,1,30
2025-02-01,14,15,26,41,42,52,36,31
2025-01-29,6,11,13,24,32,44,14,32
2025-01-25,23,26,28,29,39,51,45,33
2025-01-22,6,9,23,45,46,48,12,34
2025-01-18,13,20,25,33,38,40,44,35
2025-01-15,4,9,10,35,37,41,39,36
2025-01-11,1,10,20,22,37,42,23,37
2025-01-08,16,22,24,34,38,49,35,38
2025-01-04,3,22,23,25,33,52,19,39
2025-01-01,3,7,18,23,24,52,26,40
2024-12-28,7,18,25,28,29,44,8,41
2024-12-21,6,9,23,30,33,41,8,42
2024-12-18,5,7,28,30,38,45,37,43
2024-12-14,6,8,11,39,42,47,41,44
2024-12-11,6,11,19,24,50,52,51,45
2024-12-07,10,20,30,47,49,50,21,46
2024-12-04,4,14,19,20,21,48,47,47
2024-11-30,7,24,34,37,40,52,20,48
2024-11-27,5,8,13,15,39,43,1,49
2024-11-23,3,9,10,16,22,25,43,50
2024-11-20,2,3,22,33,36,41,18,51
2024-11-16,4,8,13,15,28,36,52,52
2024-11-13,3,25,33,35,42,45,9,53
2024-11-09,6,7,20,29,46,49,31,54
2024-11-06,13,18,32,42,43,50,16,55
2024-11-02,1,7,10,15,42,51,49,56
2024-10-30,4,9,25,39,41,44,3,57
2024-10-26,4,12,22,29,38,41,10,58
2024-10-23,11,18,19,20,27,30,44,59
2024-10-19,19,24,39,44,48,50,30,60
2024-10-16,16,18,20,31,43,44,39,61
2024-10-12,5,8,10,46,49,51,27,62
2024-10-09,5,18,19,29,44,48,17,63
2024-10-05,14,21,27,40,43,47,45,64
2024-10-02,5,6,14,26,37,50,13,65
2024-09-28,25,28,29,32,40,42,26,66
2024-09-25,6,26,39,41,49,52,17,67
2024-09-21,21,29,32,33,36,50,52,68
2024-09-18,7,21,23,38,43,45,25,69
2024-09-14,4,6,8,28,46,52,27,70
2024-09-11,8,13,16,22,26,43,9,71
2024-09-07,2,7,18,29,40,49,38,72
2024-09-04,10,17,33,38,39,50,5,73
2024-08-31,1,10,14,19,25,46,29,74
2024-08-28,2,12,23,24,30,31,36,75
2024-08-24,2,5,13,22,23,51,1,76
2024-08-21,4,11,22,29,36,44,14,77
2024-08-17,4,7,12,31,38,49,15,78
2024-08-14,7,13,17,23,40,47,4,79
2024-08-10,7,11,24,26,32,41,15,80
2024-08-07,1,10,13,32,37,48,45,81
2024-08-03,12,22,26,31,45,48,6,82
2024-07-31,11,12,14,20,34,48,33,83
2024-07-27,20,21,26,34,37,48,10,84
2024-07-24,13,17,30,31,32,43,41,85
2024-07-20,19,22,27,37,42,46,47,86
2024-07-17,1,5,14,15,22,47,7,87
2024-07-13,14,33,34,36,44,45,28,88
2024-07-10,9,17,25,40,49,52,38,89
2024-07-06,3,10,28,29,44,49,50,90
2024-07-03,8,24,43,45,46,50,16,91
2024-06-29,10,11,15,21,44,47,8,92
2024-06-26,2,17,33,39,45,52,48,93
2024-06-22,12,21,25,29,47,51,32,94
2024-06-19,9,11,25,26,31,39,45,95
2024-06-15,1,14,32,35,46,48,22,96
2024-06-12,2,9,16,26,41,48,23,97
2024-06-08,5,6,10,11,35,41,17,98
2024-06-05,21,22,23,25,37,50,47,99
2024-06-01,12,17,18,29,37,42,27,100
2024-05-29,5,11,20,27,41,45,42,101
2024-05-25,1,4,25,29,36,45,20,102
2024-05-22,19,22,29,35,40,41,1,103
2024-05-18,12,24,28,37,38,47,1,104
2024-05-15,2,7,25,32,37,45,8,105
2024-05-11,1,8,35,38,43,51,30,106
2024-05-08,19,26,31,36,37,40,22,107
2024-05-04,3,14,33,35,36,49,25,108
2024-05-01,7,12,16,27,32,52,13,109
2024-04-27,10,11,17,27,33,40,8,110
2024-04-24,18,32,38,42,44,50,24,111
2024-04-20,2,5,6,25,29,30,10,112
2024-04-17,15,21,34,36,37,47,43,113
2024-04-13,14,16,22,23,35,47,24,114
2024-04-10,6,10,15,20,34,45,46,115
2024-04-06,7,8,17,19,28,49,12,116
2024-04-03,19,25,26,28,38,39,44,117
2024-03-30,18,29,39,40,43,50,27,118
2024-03-27,11,22,41,45,46,51,50,119
2024-03-23,1,2,3,4,17,43,36,120
2024-03-20,8,13,22,30,39,52,32,121
2024-03-16,5,8,11,15,19,51,21,122
2024-03-13,9,25,33,34,36,46,15,123
2024-03-09,9,17,24,27,46,50,48,124
2024-03-06,7,16,17,22,32,48,36,125
2024-03-02,8,18,25,40,47,49,31,126
2024-02-28,11,12,14,18,20,48,32,127
2024-02-24,2,7,20,27,29,34,37,128
2024-02-21,5,33,34,42,51,52,39,129
2024-02-17,1,3,9,29,44,48,25,130
2024-02-14,6,18,23,29,30,45,44,131
2024-02-10,3,18,24,38,43,46,51,132
2024-02-07,13,19,28,29,30,32,14,133
2024-02-03,16,17,24,31,36,43,44,134
2024-01-31,9,11,23,26,41,52,29,135
2024-01-27,2,15,26,28,45,49,6,136
2024-01-24,14,16,18,21,45,51,4,137
2024-01-20,3,8,10,16,36,41,9,138
2024-01-17,24,33,34,42,43,50,37,139
2024-01-13,11,13,29,48,50,51,47,140
2024-01-10,9,15,17,27,31,49,35,141
2024-01-06,5,9,17,18,24,30,6,142
2024-01-03,7,18,32,36,38,52,25,143
2023-12-30,9,10,15,17,35,37,4,144
2023-12-27,12,25,29,34,41,42,27,145
2023-12-23,19,20,28,37,49,50,48,146
2023-12-20,11,18,32,41,45,50,51,147
2023-12-16,17,22,31,36,43,47,29,148
2023-12-13,11,12,14,16,31,38,7,149
2023-12-09,8,14,23,40,42,44,33,150
2023-12-06,10,13,34,42,45,51,24,151
2023-12-02,1,32,33,35,42,51,20,152
2023-11-29,11,20,23,25,38,41,32,153
2023-11-25,3,14,15,24,25,40,45,154
2023-11-22,5,12,19,23,25,41,15,155
2023-11-18,11,19,21,25,34,41,44,156
2023-11-15,11,14,34,38,45,46,51,157
2023-11-11,3,33,43,45,46,47,22,158
2023-11-08,1,16,20,21,28,45,17,159
2023-11-04,12,18,30,48,51,52,38,160
2023-11-01,6,14,25,33,40,49,16,161
2023-10-28,1,36,41,43,46,51,25,162
2023-10-25,3,4,13,24,25,39,48,163
2023-10-21,22,38,40,42,48,49,18,164
2023-10-18,8,9,30,31,40,42,23,165
2023-10-14,8,10,17,20,49,51,44,166
2023-10-11,4,8,10,25,33,50,32,167
2023-10-07,10,13,21,23,29,30,22,168
2023-10-04,4,14,17,32,41,48,2,169
2023-09-30,1,10,14,15,16,40,33,170
2023-09-27,6,9,15,22,28,39,31,171
2023-09-23,1,5,24,25,27,41,50,172
2023-09-20,17,26,28,31,33,35,2,173
2023-09-16,10,18,19,32,34,44,25,174
2023-09-13,4,28,35,47,50,51,15,175
2023-09-09,7,10,18,20,23,30,4,176
2023-09-06,3,13,32,35,49,50,26,177
2023-09-02,2,23,36,37,40,46,39,178
2023-08-30,22,23,28,37,43,50,45,179
2023-08-26,7,10,27,28,48,49,20,180
2023-08-23,4,6,24,28,41,46,27,181
2023-08-19,13,14,15,18,22,33,36,182
2023-08-16,6,8,13,28,37,48,21,183
2023-08-12,12,21,25,27,40,46,13,184
2023-08-09,5,6,11,23,28,31,21,185
2023-08-05,7,27,39,43,44,48,10,186
2023-08-02,13,16,37,40,42,47,43,187
2023-07-29,4,9,14,16,21,40,44,188
2023-07-26,14,29,35,36,43,46,44,189
2023-07-22,1,20,25,26,28,42,13,190
2023-07-19,1,5,29,36,39,41,30,191
2023-05-31,2,14,23,33,37,49,29,192
2023-05-27,2,8,16,18,33,47,35,193
2023-05-24,11,17,21,34,44,49,15,194
2023-05-20,1,17,22,30,37,42,35,195
2023-05-17,1,27,34,41,42,51,39,196
2023-05-13,10,16,23,24,30,49,5,197
2023-05-10,4,5,11,25,41,50,13,198
2023-05-06,19,22,30,39,45,46,24,199
2023-05-03,18,21,33,35,40,43,6,200
2023-04-29,7,15,28,35,44,51,31,201
2023-04-26,25,36,38,39,47,51,30,202
2023-04-22,3,7,28,29,35,52,12,203
2023-04-19,11,25,38,39,44,50,52,204
2023-04-15,3,18,35,36,39,42,8,205
2023-04-12,4,38,46,47,50,52,45,206
2023-04-08,2,8,16,17,37,41,35,207
2023-04-05,5,12,14,26,33,37,34,208
2023-04-01,26,27,29,31,32,52,12,209
2023-03-29,4,15,21,22,30,33,5,210
2023-03-25,10,11,31,35,39,46,3,211
2023-03-22,4,10,27,34,43,44,22,212
2023-03-18,5,8,26,31,47,50,35,213
2023-03-15,27,36,41,43,46,50,45,214
2023-03-11,17,38,44,48,49,50,5,215
2023-03-08,11,19,23,27,35,44,13,216
2023-03-04,4,9,13,38,42,45,40,217
2023-03-01,23,24,25,26,34,35,14,218
2023-02-25,12,14,19,24,33,42,5,219
2023-02-22,5,14,20,22,25,34,8,220
2023-02-18,7,9,21,25,31,50,15,221
2023-02-15,4,7,14,30,37,46,16,222
2023-02-11,9,11,35,39,40,48,19,223
2023-02-08,15,20,23,31,33,40,29,224
2023-02-04,11,13,23,45,47,50,10,225
2023-02-01,2,21,24,38,44,48,36,226
2023-01-28,8,27,30,32,46,52,43,227
2023-01-25,3,6,9,11,31,39,7,228
2023-01-21,1,13,14,22,41,52,9,229
2023-01-18,5,29,31,35,39,47,1,230
2023-01-14,8,9,14,33,34,47,26,231
2023-01-11,4,10,21,25,37,46,2,232
2023-01-07,3,4,19,25,27,32,8,233
2023-01-04,1,18,25,30,46,48,19,234
2022-12-31,12,18,19,41,48,52,35,235
2022-12-28,8,22,30,40,42,49,41,236
2022-12-24,7,10,17,19,23,50,43,237
2022-12-21,7,20,21,37,38,46,24,238
2022-12-17,4,6,18,20,36,40,43,239
2022-12-14,2,7,20,21,35,46,22,240
2022-12-10,11,23,37,39,43,44,31,241
2022-12-07,1,5,18,45,47,52,19,242
2022-12-03,1,12,26,33,50,52,19,243
2022-11-30,11,25,29,41,44,51,17,244
2022-11-26,5,18,20,26,35,38,24,245
2022-11-23,3,8,10,12,19,27,18,246
2022-11-19,6,8,12,37,43,51,21,247
2022-11-16,2,4,12,23,42,46,49,248
2022-11-12,1,11,45,48,51,52,9,249
2022-11-09,11,18,35,41,46,51,13,250
2022-11-05,4,18,27,32,38,45,42,251
